name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Yannick Bolasie,Everton,28,LW,1,20.0,896,45,4.0,Congo DR,0,7,1,0,4
Matteo Darmian,Manchester+United,27,RB,3,12.0,1640,70,2.0,Italy,0,12,0,1,3
Ã‰tienne Capoue,Watford,29,DM,2,9.0,412,131,2.0,France,0,18,0,0,4
Ashley Williams,Everton,32,CB,3,8.0,599,127,2.0,Wales,0,7,1,0,5
Geoff Cameron,Stoke+City,32,CB,3,3.0,260,58,4.0,United States,0,15,0,0,5
Davy Klaassen,Everton,24,AM,1,18.0,428,0,2.0,Netherlands,1,7,0,0,2
Andre Gray,Burnley,26,CF,1,10.0,687,108,1.0,England,0,4,0,0,3
Kieran Trippier,Tottenham,26,RB,3,10.0,525,51,1.0,England,0,17,0,1,3
Gaetan Bong,Brighton+and+Hove,29,LB,3,1.5,97,0,4.0,Cameroon,0,3,0,0,4
Lucas Perez,Arsenal,28,CF,1,15.0,2055,20,2.0,Spain,0,1,1,1,4
Dwight Gayle,Newcastle+United,26,CF,1,10.0,1351,0,1.0,England,0,13,0,0,3
Luka Milivojevic,Crystal+Palace,26,DM,2,10.0,407,42,2.0,Serbia,0,6,0,0,3
