name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Darren Randolph,West+Ham,30,GK,4,2.5,459,69,2.0,Ireland,0,20,0,0,4
Sead Kolasinac,Arsenal,24,LB,3,15.0,618,0,2.0,Bosnia,1,1,0,1,2
Aaron Ramsey,Arsenal,26,CM,2,35.0,1040,56,1.0,Wales,0,1,0,1,3
Artur Boruc,Bournemouth,37,GK,4,1.0,436,120,2.0,Poland,0,2,0,0,6
Michel Vorm,Tottenham,33,GK,4,4.0,252,17,2.0,Netherlands,0,17,0,1,5
Josh Sims,Southampton,20,RW,1,0.5,126,12,1.0,England,0,14,0,0,1
Santi Cazorla,Arsenal,32,CM,2,12.0,943,38,2.0,Spain,0,1,0,1,5
Jermain Defoe,Bournemouth,34,CF,1,5.0,3213,166,1.0,England,0,2,0,0,6
Sean Scannell,Huddersfield,26,RW,1,0.5,85,0,2.0,Ireland,0,8,0,0,3
Fernando,Manchester+City,32,DM,2,18.0,338,18,3.0,Brazil,0,11,0,1,5
Kyle Walker,Manchester+City,27,RB,3,30.0,1008,142,1.0,England,0,11,0,1,3
Paul Pogba,Manchester+United,24,CM,2,75.0,7435,115,2.0,France,0,12,1,1,2
Siem de Jong,Newcastle+United,28,AM,1,5.5,341,0,2.0,Netherlands,0,13,0,0,4
Josh Tymon,Stoke+City,18,LB,3,1.0,120,9,1.0,England,0,15,0,0,1
Jan Bednarek,Southampton,21,CB,3,0.5,9,0,2.0,Poland,1,14,0,0,1
Cheikhou Kouyate,West+Ham,27,DM,2,12.0,284,79,4.0,Senegal,0,20,0,0,3
Joel Castro Pereira,Manchester+United,21,GK,4,0.1,395,6,2.0,Portugal,0,12,0,1,1
Michael Carrick,Manchester+United,35,DM,2,1.5,1789,42,1.0,England,0,12,0,1,6
Ryan Fraser,Bournemouth,23,LW,1,5.0,516,100,2.0,Scotland,0,2,0,0,2
James McClean,West+Brom,28,LW,1,3.0,454,52,2.0,Ireland,0,19,0,0,4
Kieran Gibbs,Arsenal,27,LB,3,10.0,489,45,1.0,England,0,1,0,1,3
Boaz Myhill,West+Brom,34,GK,4,1.5,100,0,2.0,Wales,0,19,0,0,6
Markus Suttner,Brighton+and+Hove,30,LB,3,2.0,23,0,2.0,Austria,0,3,0,0,4
Christian Fuchs,Leicester+City,31,LB,3,6.0,417,104,2.0,Austria,0,9,0,0,4
Kevin De Bruyne,Manchester+City,26,AM,1,65.0,2252,199,2.0,Belgium,0,11,0,1,3
Jose Fonte,West+Ham,33,CB,3,7.0,867,98,2.0,Portugal,0,20,1,0,5
Maarten Stekelenburg,Everton,34,GK,4,2.0,623,68,2.0,Netherlands,0,7,1,0,6
Patrick van Aanholt,Crystal+Palace,26,LB,3,9.0,524,98,2.0,Netherlands,0,6,0,0,3
Leroy Fer,Swansea,27,CM,2,8.0,411,95,2.0,Netherlands,0,16,1,0,3
Brad Smith,Bournemouth,23,LB,3,2.0,297,4,4.0,Australia,0,2,0,0,2
Oriol Romeu,Southampton,25,DM,2,10.0,476,80,2.0,Spain,0,14,0,0,3
Joel Coleman,Huddersfield,21,GK,4,0.25,36,0,1.0,England,0,8,0,0,1
Marouane Fellaini,Manchester+United,29,CM,2,12.0,1498,48,2.0,Belgium,0,12,0,1,4
Grant Hanley,Newcastle+United,25,CB,3,4.5,265,0,2.0,Scotland,0,13,0,0,3
Dominic Solanke,Liverpool,19,CF,1,2.0,671,0,1.0,England,0,10,0,1,1
Cuco Martina,Everton,27,RB,3,2.0,232,31,2.0,Curacao,0,7,0,0,3
David Ospina,Arsenal,28,GK,4,7.0,544,2,3.0,Colombia,0,1,0,1,4
Shane Duffy,Brighton+and+Hove,25,CB,3,5.0,243,0,2.0,Ireland,0,3,0,0,3
Martin Cranie,Huddersfield,30,CB,3,0.5,67,0,1.0,England,0,8,0,0,4
Claudio Bravo,Manchester+City,34,GK,4,8.0,436,73,3.0,Chile,0,11,1,1,6
Marcos Alonso Mendoza,Chelsea,26,LB,3,25.0,3069,177,2.0,Spain,0,5,1,1,3
James Tarkowski,Burnley,24,CB,3,2.0,116,23,1.0,England,0,4,0,0,2
Manuel Lanzini,West+Ham,24,AM,1,15.0,493,133,3.0,Argentina,0,20,0,0,2
Scott Dann,Crystal+Palace,30,CB,3,5.0,217,61,1.0,England,0,6,0,0,4
Ciaran Clark,Newcastle+United,27,CB,3,5.0,273,0,2.0,Ireland,0,13,0,0,3
Mesut Ozil,Arsenal,28,AM,1,50.0,4395,167,2.0,Germany,0,1,0,1,4
Jonjoe Kenny,Everton,20,RB,3,0.25,53,1,1.0,England,0,7,0,0,1
Mohamed Diame,Newcastle+United,30,CM,2,6.0,339,0,4.0,Senegal,0,13,0,0,4
Jordan Ayew,Swansea,25,CF,1,7.5,676,39,4.0,Ghana,0,16,0,0,3
Kevin Long,Burnley,26,CB,3,0.5,68,3,2.0,Ireland,0,4,0,0,3
Philip Billing,Huddersfield,21,CM,2,0.5,157,0,2.0,Denmark,0,8,0,0,1
Leon Britton,Swansea,34,CM,2,1.0,218,32,1.0,England,0,16,0,0,6
Leroy Sane,Manchester+City,21,LW,1,35.0,2302,105,2.0,Germany,0,11,1,1,1
N%27Golo Kante,Chelsea,26,DM,2,50.0,4042,83,2.0,France,0,5,1,1,3
Craig Dawson,West+Brom,27,RB,3,6.0,215,102,1.0,England,0,19,0,0,3
Nathan Redmond,Southampton,23,RW,1,15.0,706,126,1.0,England,0,14,1,0,2
Charlie Adam,Stoke+City,31,CM,2,3.5,561,59,2.0,Scotland,0,15,0,0,4
Sandro Ramirez,Everton,22,CF,1,10.0,373,0,2.0,Spain,1,7,0,0,2
Nacho Monreal,Arsenal,31,LB,3,13.0,555,115,2.0,Spain,0,1,0,1,4
Bakary Sako,Crystal+Palace,29,LW,1,6.0,226,7,4.0,Mali,0,6,0,0,4
Thibaut Courtois,Chelsea,25,GK,4,40.0,1260,141,2.0,Belgium,0,5,0,1,3
James Collins,West+Ham,33,CB,3,2.0,187,69,2.0,Wales,0,20,0,0,5
Fabian Delph,Manchester+City,27,CM,2,8.0,520,13,1.0,England,0,11,0,1,3
Phil Bardsley,Stoke+City,32,RB,3,1.5,365,27,2.0,Scotland,0,15,0,0,5
Riyad Mahrez,Leicester+City,26,RW,1,30.0,1753,120,4.0,Algeria,0,9,0,0,3
Andros Townsend,Crystal+Palace,26,RW,1,12.0,693,116,1.0,England,0,6,1,0,3
John Stones,Manchester+City,23,CB,3,35.0,1078,59,1.0,England,0,11,1,1,2
Emiliano Martinez,Arsenal,24,GK,4,1.0,372,8,3.0,Argentina,0,1,0,1,2
Stephen Ward,Burnley,31,LB,3,1.5,152,91,2.0,Ireland,0,4,0,0,4
Joshua King,Bournemouth,25,SS,1,8.0,997,178,2.0,Norway,0,2,0,0,3
Nathan Ake,Bournemouth,22,CB,3,8.0,1274,55,2.0,Netherlands,0,2,0,0,2
Simon Mignolet,Liverpool,29,GK,4,12.0,721,110,2.0,Belgium,0,10,0,1,4
Pape Souare,Crystal+Palace,27,LB,3,6.0,186,6,4.0,Senegal,0,6,0,0,3
Sofiane Boufal,Southampton,23,AM,1,15.0,590,40,4.0,Morocco,0,14,1,0,2
Morgan Schneiderlin,Everton,27,DM,2,22.0,1272,37,2.0,France,0,7,1,0,3
Rob Holding,Arsenal,21,CB,3,7.0,666,32,1.0,England,0,1,1,1,1
Andy Williams,Huddersfield,26,CB,3,0.65,3,0,3.0,Trinidad and Tobago,0,8,0,0,3
Erik Pieters,Stoke+City,28,LB,3,7.0,134,103,2.0,Netherlands,0,15,0,0,4
Harry Kane,Tottenham,23,CF,1,60.0,4161,224,1.0,England,0,17,0,1,2
Olivier Giroud,Arsenal,30,CF,1,22.0,2230,116,2.0,France,0,1,0,1,4
Adam Lallana,Liverpool,29,AM,1,25.0,1808,139,1.0,England,0,10,0,1,4
Jonathan Hogg,Huddersfield,28,CM,2,1.0,75,0,1.0,England,0,8,0,0,4
Jason Puncheon,Crystal+Palace,31,AM,1,5.5,427,92,1.0,England,0,6,0,0,4
Petr Cech,Arsenal,35,GK,4,7.0,1529,134,2.0,Czech Republic,0,1,0,1,6
Victor Moses,Chelsea,26,RM,2,18.0,2537,105,4.0,Nigeria,0,5,0,1,3
Sam Field,West+Brom,19,CM,2,0.25,15,9,1.0,England,0,19,0,0,1
Ben Mee,Burnley,27,CB,3,6.0,166,94,1.0,England,0,4,0,0,3
Heurelho Gomes,Watford,36,GK,4,1.0,439,113,3.0,Brazil,0,18,0,0,6
Ryan Bertrand,Southampton,27,LB,3,20.0,578,123,1.0,England,0,14,0,0,3
Wayne Hennessey,Crystal+Palace,30,GK,4,4.0,242,92,2.0,Wales,0,6,0,0,4
Joe Lolley,Huddersfield,24,RW,1,0.25,63,0,1.0,England,0,8,0,0,2
Youn̬s Kaboul,Watford,31,CB,3,2.5,263,57,2.0,France,0,18,1,0,4
Asmir Begovic,Bournemouth,30,GK,4,8.0,697,2,2.0,Bosnia,0,2,0,0,4
